ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios2	dosescenarios2	1591235274099	 	3.3.1
USER	ListadoCursos	142	START	1591235285153	1591235285153
REQUEST	142		Home	1591235285153	1591235285160	OK	 
USER	Publicar	135	START	1591235285164	1591235285164
REQUEST	135		Home	1591235285165	1591235285172	OK	 
REQUEST	37		IniciarSesion	1591235285210	1591235285221	OK	 
REQUEST	44		IniciarSesion	1591235285210	1591235285221	OK	 
USER	ListadoCursos	150	START	1591235285310	1591235285310
USER	Publicar	143	START	1591235285310	1591235285310
REQUEST	150		Home	1591235285310	1591235285320	OK	 
REQUEST	143		Home	1591235285310	1591235285320	OK	 
REQUEST	45		IniciarSesion	1591235285332	1591235285342	OK	 
REQUEST	52		IniciarSesion	1591235285332	1591235285342	OK	 
USER	ListadoCursos	151	START	1591235285451	1591235285451
USER	Publicar	144	START	1591235285451	1591235285451
REQUEST	144		Home	1591235285452	1591235285459	OK	 
REQUEST	151		Home	1591235285452	1591235285459	OK	 
REQUEST	53		IniciarSesion	1591235285463	1591235285475	OK	 
REQUEST	46		IniciarSesion	1591235285463	1591235285485	OK	 
USER	ListadoCursos	152	START	1591235285596	1591235285596
USER	Publicar	145	START	1591235285600	1591235285600
REQUEST	152		Home	1591235285596	1591235285606	OK	 
REQUEST	145		Home	1591235285600	1591235285608	OK	 
REQUEST	54		IniciarSesion	1591235285610	1591235285622	OK	 
REQUEST	47		IniciarSesion	1591235285621	1591235285629	OK	 
USER	ListadoCursos	153	START	1591235285745	1591235285745
USER	Publicar	146	START	1591235285745	1591235285745
REQUEST	146		Home	1591235285747	1591235285759	OK	 
REQUEST	153		Home	1591235285745	1591235285759	OK	 
REQUEST	55		IniciarSesion	1591235285751	1591235285760	OK	 
REQUEST	48		IniciarSesion	1591235285763	1591235285773	OK	 
USER	ListadoCursos	154	START	1591235285884	1591235285884
USER	Publicar	147	START	1591235285884	1591235285884
REQUEST	147		Home	1591235285884	1591235285892	OK	 
REQUEST	154		Home	1591235285884	1591235285892	OK	 
REQUEST	56		IniciarSesion	1591235285905	1591235285911	OK	 
REQUEST	49		IniciarSesion	1591235285905	1591235285911	OK	 
USER	Publicar	148	START	1591235286021	1591235286021
USER	ListadoCursos	155	START	1591235286021	1591235286021
REQUEST	148		Home	1591235286021	1591235286027	OK	 
REQUEST	155		Home	1591235286021	1591235286028	OK	 
REQUEST	57		IniciarSesion	1591235286043	1591235286052	OK	 
REQUEST	50		IniciarSesion	1591235286043	1591235286053	OK	 
USER	ListadoCursos	156	START	1591235286171	1591235286171
USER	Publicar	149	START	1591235286170	1591235286170
REQUEST	156		Home	1591235286171	1591235286178	OK	 
REQUEST	149		Home	1591235286171	1591235286179	OK	 
REQUEST	58		IniciarSesion	1591235286192	1591235286199	OK	 
REQUEST	51		IniciarSesion	1591235286192	1591235286199	OK	 
USER	Publicar	157	START	1591235286313	1591235286313
USER	ListadoCursos	164	START	1591235286313	1591235286313
REQUEST	164		Home	1591235286313	1591235286320	OK	 
REQUEST	157		Home	1591235286313	1591235286321	OK	 
REQUEST	59		IniciarSesion	1591235286340	1591235286346	OK	 
REQUEST	66		IniciarSesion	1591235286340	1591235286350	OK	 
USER	ListadoCursos	165	START	1591235286464	1591235286464
USER	Publicar	158	START	1591235286464	1591235286464
REQUEST	158		Home	1591235286464	1591235286471	OK	 
REQUEST	165		Home	1591235286464	1591235286471	OK	 
REQUEST	60		IniciarSesion	1591235286490	1591235286497	OK	 
REQUEST	67		IniciarSesion	1591235286490	1591235286497	OK	 
USER	Publicar	159	START	1591235286605	1591235286605
USER	ListadoCursos	166	START	1591235286605	1591235286605
REQUEST	166		Home	1591235286606	1591235286616	OK	 
REQUEST	159		Home	1591235286606	1591235286616	OK	 
REQUEST	61		IniciarSesion	1591235286621	1591235286630	OK	 
REQUEST	68		IniciarSesion	1591235286621	1591235286630	OK	 
USER	ListadoCursos	167	START	1591235286746	1591235286746
USER	Publicar	160	START	1591235286745	1591235286745
REQUEST	167		Home	1591235286746	1591235286756	OK	 
REQUEST	160		Home	1591235286746	1591235286760	OK	 
REQUEST	69		IniciarSesion	1591235286775	1591235286784	OK	 
REQUEST	62		IniciarSesion	1591235286775	1591235286784	OK	 
USER	ListadoCursos	168	START	1591235286882	1591235286882
USER	Publicar	161	START	1591235286882	1591235286882
REQUEST	168		Home	1591235286883	1591235286889	OK	 
REQUEST	161		Home	1591235286883	1591235286889	OK	 
REQUEST	70		IniciarSesion	1591235286904	1591235286913	OK	 
REQUEST	63		IniciarSesion	1591235286904	1591235286913	OK	 
USER	Publicar	162	START	1591235287035	1591235287035
USER	ListadoCursos	169	START	1591235287035	1591235287035
REQUEST	162		Home	1591235287036	1591235287042	OK	 
REQUEST	169		Home	1591235287036	1591235287042	OK	 
REQUEST	71		IniciarSesion	1591235287062	1591235287067	OK	 
REQUEST	64		IniciarSesion	1591235287071	1591235287083	OK	 
USER	ListadoCursos	170	START	1591235287173	1591235287173
USER	Publicar	163	START	1591235287173	1591235287173
REQUEST	170		Home	1591235287173	1591235287183	OK	 
REQUEST	163		Home	1591235287173	1591235287183	OK	 
REQUEST	72		IniciarSesion	1591235287194	1591235287203	OK	 
REQUEST	65		IniciarSesion	1591235287194	1591235287203	OK	 
USER	Publicar	171	START	1591235287314	1591235287314
USER	ListadoCursos	178	START	1591235287314	1591235287314
REQUEST	171		Home	1591235287314	1591235287320	OK	 
REQUEST	178		Home	1591235287314	1591235287320	OK	 
REQUEST	73		IniciarSesion	1591235287346	1591235287352	OK	 
REQUEST	80		IniciarSesion	1591235287346	1591235287352	OK	 
USER	Publicar	172	START	1591235287452	1591235287452
USER	ListadoCursos	179	START	1591235287452	1591235287452
REQUEST	172		Home	1591235287452	1591235287458	OK	 
REQUEST	179		Home	1591235287452	1591235287458	OK	 
REQUEST	74		IniciarSesion	1591235287485	1591235287493	OK	 
REQUEST	81		IniciarSesion	1591235287485	1591235287493	OK	 
USER	Publicar	173	START	1591235287602	1591235287602
USER	ListadoCursos	180	START	1591235287602	1591235287602
REQUEST	180		Home	1591235287603	1591235287610	OK	 
REQUEST	173		Home	1591235287603	1591235287610	OK	 
REQUEST	82		IniciarSesion	1591235287614	1591235287621	OK	 
REQUEST	75		IniciarSesion	1591235287635	1591235287642	OK	 
USER	ListadoCursos	181	START	1591235287742	1591235287742
USER	Publicar	174	START	1591235287742	1591235287742
REQUEST	174		Home	1591235287742	1591235287751	OK	 
REQUEST	181		Home	1591235287742	1591235287752	OK	 
REQUEST	76		IniciarSesion	1591235287774	1591235287784	OK	 
REQUEST	83		IniciarSesion	1591235287774	1591235287784	OK	 
USER	ListadoCursos	182	START	1591235287884	1591235287884
USER	Publicar	175	START	1591235287884	1591235287884
REQUEST	175		Home	1591235287884	1591235287891	OK	 
REQUEST	182		Home	1591235287884	1591235287891	OK	 
REQUEST	84		IniciarSesion	1591235287910	1591235287918	OK	 
REQUEST	77		IniciarSesion	1591235287910	1591235287918	OK	 
USER	Publicar	176	START	1591235288032	1591235288032
USER	ListadoCursos	183	START	1591235288032	1591235288032
REQUEST	183		Home	1591235288032	1591235288041	OK	 
REQUEST	176		Home	1591235288032	1591235288042	OK	 
REQUEST	85		IniciarSesion	1591235288065	1591235288072	OK	 
REQUEST	78		IniciarSesion	1591235288065	1591235288073	OK	 
USER	Publicar	177	START	1591235288170	1591235288170
USER	ListadoCursos	184	START	1591235288170	1591235288170
REQUEST	184		Home	1591235288170	1591235288178	OK	 
REQUEST	177		Home	1591235288170	1591235288178	OK	 
REQUEST	79		IniciarSesion	1591235288202	1591235288209	OK	 
REQUEST	86		IniciarSesion	1591235288202	1591235288209	OK	 
USER	ListadoCursos	192	START	1591235288310	1591235288310
USER	Publicar	185	START	1591235288310	1591235288310
REQUEST	185		Home	1591235288311	1591235288319	OK	 
REQUEST	192		Home	1591235288311	1591235288319	OK	 
REQUEST	87		IniciarSesion	1591235288341	1591235288349	OK	 
REQUEST	94		IniciarSesion	1591235288341	1591235288350	OK	 
USER	Publicar	186	START	1591235288460	1591235288460
USER	ListadoCursos	193	START	1591235288460	1591235288460
REQUEST	193		Home	1591235288461	1591235288467	OK	 
REQUEST	186		Home	1591235288461	1591235288467	OK	 
REQUEST	95		IniciarSesion	1591235288471	1591235288477	OK	 
REQUEST	88		IniciarSesion	1591235288471	1591235288477	OK	 
USER	ListadoCursos	194	START	1591235288604	1591235288604
USER	Publicar	187	START	1591235288604	1591235288604
REQUEST	194		Home	1591235288605	1591235288611	OK	 
REQUEST	187		Home	1591235288605	1591235288611	OK	 
REQUEST	89		IniciarSesion	1591235288625	1591235288633	OK	 
REQUEST	96		IniciarSesion	1591235288625	1591235288637	OK	 
USER	Publicar	188	START	1591235288744	1591235288744
USER	ListadoCursos	195	START	1591235288744	1591235288744
REQUEST	188		Home	1591235288745	1591235288753	OK	 
REQUEST	195		Home	1591235288745	1591235288753	OK	 
REQUEST	97		IniciarSesion	1591235288760	1591235288766	OK	 
REQUEST	90		IniciarSesion	1591235288760	1591235288766	OK	 
