ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCursosDisponibles	vercursosdisponibles	1591032725147	 	3.3.1
REQUEST	116		Home	1591032735977	1591032735981	OK	 
REQUEST	56		IniciarSesion	1591032736000	1591032736003	OK	 
USER	VerCursosDisponibles	117	START	1591032736056	1591032736056
REQUEST	117		Home	1591032736056	1591032736062	OK	 
REQUEST	57		IniciarSesion	1591032736077	1591032736082	OK	 
USER	VerCursosDisponibles	118	START	1591032736135	1591032736135
REQUEST	118		Home	1591032736136	1591032736140	OK	 
REQUEST	58		IniciarSesion	1591032736168	1591032736172	OK	 
USER	VerCursosDisponibles	119	START	1591032736225	1591032736225
REQUEST	119		Home	1591032736226	1591032736229	OK	 
REQUEST	59		IniciarSesion	1591032736246	1591032736249	OK	 
USER	VerCursosDisponibles	120	START	1591032736311	1591032736311
REQUEST	120		Home	1591032736311	1591032736316	OK	 
REQUEST	60		IniciarSesion	1591032736316	1591032736319	OK	 
USER	VerCursosDisponibles	121	START	1591032736385	1591032736385
REQUEST	121		Home	1591032736386	1591032736390	OK	 
REQUEST	61		IniciarSesion	1591032736417	1591032736420	OK	 
USER	VerCursosDisponibles	122	START	1591032736470	1591032736470
REQUEST	122		Home	1591032736470	1591032736474	OK	 
REQUEST	62		IniciarSesion	1591032736496	1591032736499	OK	 
USER	VerCursosDisponibles	123	START	1591032736545	1591032736545
REQUEST	123		Home	1591032736547	1591032736558	OK	 
REQUEST	63		IniciarSesion	1591032736578	1591032736585	OK	 
USER	VerCursosDisponibles	124	START	1591032736636	1591032736636
REQUEST	124		Home	1591032736637	1591032736643	OK	 
REQUEST	64		IniciarSesion	1591032736658	1591032736662	OK	 
USER	VerCursosDisponibles	125	START	1591032736715	1591032736715
REQUEST	125		Home	1591032736716	1591032736719	OK	 
REQUEST	65		IniciarSesion	1591032736736	1591032736739	OK	 
USER	VerCursosDisponibles	126	START	1591032736801	1591032736801
REQUEST	126		Home	1591032736817	1591032736820	OK	 
REQUEST	66		IniciarSesion	1591032736836	1591032736839	OK	 
USER	VerCursosDisponibles	127	START	1591032736891	1591032736891
REQUEST	127		Home	1591032736891	1591032736897	OK	 
REQUEST	67		IniciarSesion	1591032736905	1591032736908	OK	 
USER	VerCursosDisponibles	128	START	1591032736965	1591032736965
REQUEST	128		Home	1591032736966	1591032736973	OK	 
REQUEST	68		IniciarSesion	1591032736987	1591032736990	OK	 
USER	VerCursosDisponibles	129	START	1591032737045	1591032737045
REQUEST	129		Home	1591032737046	1591032737051	OK	 
REQUEST	69		IniciarSesion	1591032737079	1591032737084	OK	 
USER	VerCursosDisponibles	130	START	1591032737141	1591032737141
REQUEST	130		Home	1591032737142	1591032737148	OK	 
REQUEST	70		IniciarSesion	1591032737156	1591032737159	OK	 
USER	VerCursosDisponibles	131	START	1591032737215	1591032737215
REQUEST	131		Home	1591032737216	1591032737219	OK	 
REQUEST	71		IniciarSesion	1591032737237	1591032737240	OK	 
USER	VerCursosDisponibles	132	START	1591032737296	1591032737296
REQUEST	132		Home	1591032737296	1591032737302	OK	 
REQUEST	72		IniciarSesion	1591032737329	1591032737337	OK	 
USER	VerCursosDisponibles	133	START	1591032737388	1591032737388
REQUEST	133		Home	1591032737389	1591032737392	OK	 
REQUEST	73		IniciarSesion	1591032737411	1591032737414	OK	 
USER	VerCursosDisponibles	134	START	1591032737475	1591032737475
REQUEST	134		Home	1591032737476	1591032737479	OK	 
REQUEST	74		IniciarSesion	1591032737497	1591032737500	OK	 
USER	VerCursosDisponibles	135	START	1591032737557	1591032737557
REQUEST	135		Home	1591032737558	1591032737562	OK	 
REQUEST	75		IniciarSesion	1591032737579	1591032737582	OK	 
USER	VerCursosDisponibles	136	START	1591032737637	1591032737637
REQUEST	136		Home	1591032737638	1591032737642	OK	 
REQUEST	76		IniciarSesion	1591032737658	1591032737661	OK	 
USER	VerCursosDisponibles	137	START	1591032737727	1591032737727
REQUEST	137		Home	1591032737727	1591032737731	OK	 
REQUEST	77		IniciarSesion	1591032737749	1591032737752	OK	 
USER	VerCursosDisponibles	138	START	1591032737807	1591032737807
REQUEST	138		Home	1591032737807	1591032737812	OK	 
REQUEST	78		IniciarSesion	1591032737830	1591032737833	OK	 
USER	VerCursosDisponibles	139	START	1591032737888	1591032737888
REQUEST	139		Home	1591032737889	1591032737892	OK	 
REQUEST	79		IniciarSesion	1591032737910	1591032737913	OK	 
USER	VerCursosDisponibles	140	START	1591032737979	1591032737979
REQUEST	140		Home	1591032737979	1591032737983	OK	 
REQUEST	80		IniciarSesion	1591032738001	1591032738005	OK	 
USER	VerCursosDisponibles	141	START	1591032738058	1591032738058
REQUEST	141		Home	1591032738058	1591032738063	OK	 
REQUEST	81		IniciarSesion	1591032738080	1591032738084	OK	 
