ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.SolicitarTransporteMaxRendPerfomance	solicitartransportemaxrendperfomance	1590696459136	 	3.3.1
USER	solicitarTransportePos	88	START	1590696476253	1590696476253
USER	solicitarTransporteNeg	91	START	1590696476253	1590696476253
REQUEST	88		Home	1590696476253	1590696476259	OK	 
REQUEST	91		Home	1590696476253	1590696476259	OK	 
REQUEST	91		request_1	1590696476260	1590696476265	OK	 
REQUEST	88		request_1	1590696476260	1590696476265	OK	 
REQUEST	60		Login	1590696476284	1590696476289	OK	 
REQUEST	63		Login	1590696476284	1590696476289	OK	 
REQUEST	63		request_3	1590696476290	1590696476295	OK	 
REQUEST	60		request_3	1590696476290	1590696476295	OK	 
USER	solicitarTransportePos	89	START	1590696476580	1590696476580
USER	solicitarTransporteNeg	92	START	1590696476580	1590696476580
REQUEST	89		Home	1590696476581	1590696476587	OK	 
REQUEST	92		Home	1590696476581	1590696476587	OK	 
REQUEST	89		request_1	1590696476588	1590696476593	OK	 
REQUEST	92		request_1	1590696476588	1590696476593	OK	 
REQUEST	64		Login	1590696476612	1590696476620	OK	 
REQUEST	61		Login	1590696476612	1590696476620	OK	 
REQUEST	64		request_3	1590696476621	1590696476626	OK	 
REQUEST	61		request_3	1590696476621	1590696476626	OK	 
USER	solicitarTransporteNeg	96	START	1590696476919	1590696476919
USER	solicitarTransportePos	93	START	1590696476919	1590696476919
REQUEST	96		Home	1590696476920	1590696476926	OK	 
REQUEST	93		Home	1590696476920	1590696476927	OK	 
REQUEST	96		request_1	1590696476927	1590696476933	OK	 
REQUEST	93		request_1	1590696476928	1590696476933	OK	 
REQUEST	68		Login	1590696476940	1590696476944	OK	 
REQUEST	68		request_3	1590696476945	1590696476948	OK	 
REQUEST	65		Login	1590696476951	1590696476955	OK	 
REQUEST	65		request_3	1590696476956	1590696476960	OK	 
USER	solicitarTransporteNeg	97	START	1590696477250	1590696477250
USER	solicitarTransportePos	94	START	1590696477250	1590696477250
REQUEST	94		Home	1590696477251	1590696477257	OK	 
REQUEST	97		Home	1590696477251	1590696477257	OK	 
REQUEST	94		request_1	1590696477258	1590696477262	OK	 
REQUEST	97		request_1	1590696477258	1590696477263	OK	 
REQUEST	69		Login	1590696477271	1590696477275	OK	 
REQUEST	66		Login	1590696477271	1590696477275	OK	 
