ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.Transportar2EscaneriosPerfomance	transportar2escaneriosperfomance	1590747969250	 	3.3.1
REQUEST	73		request_1	1590747983864	1590747983869	OK	 
REQUEST	76		request_1	1590747983864	1590747983869	OK	 
REQUEST	48		Login	1590747983879	1590747983884	OK	 
REQUEST	45		Login	1590747983879	1590747983884	OK	 
REQUEST	45		request_3	1590747983885	1590747983890	OK	 
REQUEST	48		request_3	1590747983885	1590747983890	OK	 
USER	transportarNeg	77	START	1590747984187	1590747984187
USER	transportarPos	80	START	1590747984187	1590747984187
REQUEST	77		Home	1590747984188	1590747984194	OK	 
REQUEST	80		Home	1590747984188	1590747984196	OK	 
REQUEST	77		request_1	1590747984196	1590747984201	OK	 
REQUEST	80		request_1	1590747984197	1590747984202	OK	 
REQUEST	49		Login	1590747984207	1590747984222	OK	 
REQUEST	52		Login	1590747984206	1590747984225	OK	 
REQUEST	49		request_3	1590747984224	1590747984234	OK	 
REQUEST	52		request_3	1590747984227	1590747984239	OK	 
USER	transportarNeg	78	START	1590747984516	1590747984516
USER	transportarPos	81	START	1590747984516	1590747984516
REQUEST	78		Home	1590747984516	1590747984522	OK	 
REQUEST	81		Home	1590747984516	1590747984524	OK	 
REQUEST	78		request_1	1590747984524	1590747984529	OK	 
REQUEST	81		request_1	1590747984525	1590747984530	OK	 
REQUEST	53		Login	1590747984537	1590747984542	OK	 
REQUEST	50		Login	1590747984537	1590747984542	OK	 
REQUEST	50		request_3	1590747984543	1590747984549	OK	 
REQUEST	53		request_3	1590747984543	1590747984549	OK	 
USER	transportarNeg	79	START	1590747984846	1590747984846
USER	transportarPos	82	START	1590747984846	1590747984846
REQUEST	79		Home	1590747984846	1590747984853	OK	 
REQUEST	82		Home	1590747984846	1590747984853	OK	 
REQUEST	79		request_1	1590747984854	1590747984858	OK	 
REQUEST	82		request_1	1590747984854	1590747984858	OK	 
REQUEST	51		Login	1590747984878	1590747984883	OK	 
REQUEST	54		Login	1590747984878	1590747984883	OK	 
REQUEST	54		request_3	1590747984884	1590747984889	OK	 
REQUEST	51		request_3	1590747984884	1590747984889	OK	 
USER	transportarPos	85	START	1590747985359	1590747985359
USER	transportarNeg	83	START	1590747985359	1590747985359
REQUEST	85		Home	1590747985360	1590747985365	OK	 
REQUEST	83		Home	1590747985360	1590747985366	OK	 
REQUEST	83		request_1	1590747985368	1590747985372	OK	 
REQUEST	85		request_1	1590747985367	1590747985372	OK	 
REQUEST	57		Login	1590747985381	1590747985387	OK	 
REQUEST	55		Login	1590747985381	1590747985387	OK	 
REQUEST	55		request_3	1590747985398	1590747985403	OK	 
REQUEST	57		request_3	1590747985398	1590747985403	OK	 
USER	transportarPos	86	START	1590747985860	1590747985860
USER	transportarNeg	84	START	1590747985860	1590747985860
REQUEST	86		Home	1590747985860	1590747985866	OK	 
REQUEST	84		Home	1590747985860	1590747985866	OK	 
REQUEST	86		request_1	1590747985867	1590747985873	OK	 
REQUEST	84		request_1	1590747985868	1590747985874	OK	 
REQUEST	56		Login	1590747985876	1590747985882	OK	 
REQUEST	58		Login	1590747985876	1590747985882	OK	 
REQUEST	56		request_3	1590747985883	1590747985888	OK	 
REQUEST	58		request_3	1590747985883	1590747985887	OK	 
USER	transportarNeg	87	START	1590747986181	1590747986181
USER	transportarPos	90	START	1590747986181	1590747986181
REQUEST	87		Home	1590747986182	1590747986188	OK	 
REQUEST	90		Home	1590747986182	1590747986189	OK	 
REQUEST	87		request_1	1590747986190	1590747986195	OK	 
REQUEST	90		request_1	1590747986190	1590747986195	OK	 
REQUEST	59		Login	1590747986209	1590747986214	OK	 
REQUEST	62		Login	1590747986209	1590747986214	OK	 
REQUEST	59		request_3	1590747986216	1590747986221	OK	 
REQUEST	62		request_3	1590747986216	1590747986221	OK	 
USER	transportarPos	91	START	1590747986507	1590747986507
REQUEST	91		Home	1590747986507	1590747986512	OK	 
REQUEST	91		request_1	1590747986513	1590747986516	OK	 
USER	transportarNeg	88	START	1590747986518	1590747986518
REQUEST	88		Home	1590747986518	1590747986522	OK	 
REQUEST	88		request_1	1590747986523	1590747986527	OK	 
REQUEST	60		Login	1590747986548	1590747986553	OK	 
REQUEST	63		Login	1590747986548	1590747986553	OK	 
REQUEST	63		request_3	1590747986554	1590747986560	OK	 
REQUEST	60		request_3	1590747986554	1590747986560	OK	 
USER	transportarPos	92	START	1590747986846	1590747986846
USER	transportarNeg	89	START	1590747986846	1590747986846
REQUEST	92		Home	1590747986846	1590747986853	OK	 
REQUEST	89		Home	1590747986846	1590747986856	OK	 
REQUEST	92		request_1	1590747986854	1590747986860	OK	 
REQUEST	89		request_1	1590747986857	1590747986863	OK	 
REQUEST	61		Login	1590747986876	1590747986881	OK	 
REQUEST	64		Login	1590747986876	1590747986881	OK	 
REQUEST	64		request_3	1590747986882	1590747986887	OK	 
REQUEST	61		request_3	1590747986882	1590747986887	OK	 
USER	transportarNeg	93	START	1590747987201	1590747987201
USER	transportarPos	96	START	1590747987201	1590747987201
REQUEST	96		Home	1590747987201	1590747987207	OK	 
REQUEST	93		Home	1590747987201	1590747987209	OK	 
REQUEST	96		request_1	1590747987208	1590747987214	OK	 
REQUEST	93		request_1	1590747987210	1590747987214	OK	 
REQUEST	65		Login	1590747987216	1590747987221	OK	 
REQUEST	68		Login	1590747987216	1590747987221	OK	 
REQUEST	68		request_3	1590747987222	1590747987226	OK	 
REQUEST	65		request_3	1590747987222	1590747987227	OK	 
USER	transportarNeg	94	START	1590747987526	1590747987526
USER	transportarPos	97	START	1590747987526	1590747987526
REQUEST	97		Home	1590747987526	1590747987532	OK	 
REQUEST	94		Home	1590747987526	1590747987532	OK	 
REQUEST	94		request_1	1590747987533	1590747987538	OK	 
REQUEST	97		request_1	1590747987533	1590747987538	OK	 
REQUEST	66		Login	1590747987547	1590747987552	OK	 
REQUEST	69		Login	1590747987547	1590747987552	OK	 
REQUEST	66		request_3	1590747987553	1590747987559	OK	 
REQUEST	69		request_3	1590747987553	1590747987559	OK	 
USER	transportarPos	98	START	1590747987856	1590747987856
USER	transportarNeg	95	START	1590747987856	1590747987856
REQUEST	98		Home	1590747987856	1590747987862	OK	 
REQUEST	95		Home	1590747987856	1590747987862	OK	 
REQUEST	98		request_1	1590747987863	1590747987868	OK	 
REQUEST	95		request_1	1590747987863	1590747987868	OK	 
REQUEST	67		Login	1590747987887	1590747987893	OK	 
REQUEST	70		Login	1590747987887	1590747987892	OK	 
REQUEST	67		request_3	1590747987894	1590747987898	OK	 
REQUEST	70		request_3	1590747987894	1590747987898	OK	 
USER	transportarNeg	99	START	1590747988197	1590747988197
USER	transportarPos	102	START	1590747988197	1590747988197
REQUEST	102		Home	1590747988197	1590747988203	OK	 
REQUEST	99		Home	1590747988197	1590747988203	OK	 
REQUEST	99		request_1	1590747988204	1590747988209	OK	 
REQUEST	102		request_1	1590747988204	1590747988209	OK	 
REQUEST	74		Login	1590747988239	1590747988243	OK	 
REQUEST	74		request_3	1590747988244	1590747988247	OK	 
REQUEST	71		Login	1590747988249	1590747988252	OK	 
REQUEST	71		request_3	1590747988254	1590747988259	OK	 
USER	transportarNeg	100	START	1590747988529	1590747988529
USER	transportarPos	103	START	1590747988529	1590747988529
REQUEST	103		Home	1590747988529	1590747988536	OK	 
REQUEST	100		Home	1590747988529	1590747988537	OK	 
REQUEST	100		request_1	1590747988537	1590747988543	OK	 
REQUEST	103		request_1	1590747988537	1590747988543	OK	 
REQUEST	72		Login	1590747988551	1590747988557	OK	 
REQUEST	75		Login	1590747988551	1590747988558	OK	 
REQUEST	72		request_3	1590747988558	1590747988563	OK	 
REQUEST	75		request_3	1590747988559	1590747988565	OK	 
USER	transportarPos	104	START	1590747988857	1590747988857
USER	transportarNeg	101	START	1590747988857	1590747988857
REQUEST	104		Home	1590747988857	1590747988863	OK	 
REQUEST	101		Home	1590747988857	1590747988863	OK	 
REQUEST	101		request_1	1590747988864	1590747988869	OK	 
REQUEST	104		request_1	1590747988864	1590747988869	OK	 
REQUEST	76		Login	1590747988888	1590747988894	OK	 
REQUEST	73		Login	1590747988888	1590747988894	OK	 
REQUEST	73		request_3	1590747988895	1590747988900	OK	 
REQUEST	76		request_3	1590747988895	1590747988900	OK	 
USER	transportarPos	108	START	1590747989196	1590747989196
USER	transportarNeg	105	START	1590747989196	1590747989196
REQUEST	108		Home	1590747989197	1590747989202	OK	 
REQUEST	105		Home	1590747989197	1590747989204	OK	 
REQUEST	108		request_1	1590747989203	1590747989208	OK	 
REQUEST	105		request_1	1590747989205	1590747989210	OK	 
REQUEST	80		Login	1590747989210	1590747989215	OK	 
REQUEST	77		Login	1590747989210	1590747989216	OK	 
REQUEST	80		request_3	1590747989216	1590747989222	OK	 
REQUEST	77		request_3	1590747989216	1590747989222	OK	 
USER	transportarPos	109	START	1590747989527	1590747989527
USER	transportarNeg	106	START	1590747989527	1590747989527
REQUEST	106		Home	1590747989528	1590747989533	OK	 
