ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034731304	 	3.3.1
REQUEST	69		IniciarSesion	1591034743570	1591034743574	OK	 
USER	InscribirCurso	125	START	1591034743628	1591034743628
REQUEST	125		Home	1591034743629	1591034743633	OK	 
REQUEST	70		IniciarSesion	1591034743649	1591034743653	OK	 
USER	InscribirCurso	126	START	1591034743723	1591034743723
REQUEST	126		Home	1591034743723	1591034743728	OK	 
REQUEST	71		IniciarSesion	1591034743739	1591034743742	OK	 
USER	InscribirCurso	127	START	1591034743812	1591034743812
REQUEST	127		Home	1591034743813	1591034743817	OK	 
REQUEST	72		IniciarSesion	1591034743834	1591034743838	OK	 
USER	InscribirCurso	128	START	1591034743901	1591034743901
REQUEST	128		Home	1591034743902	1591034743906	OK	 
REQUEST	73		IniciarSesion	1591034743923	1591034743930	OK	 
USER	InscribirCurso	129	START	1591034743991	1591034743991
REQUEST	129		Home	1591034743992	1591034743995	OK	 
REQUEST	74		IniciarSesion	1591034744013	1591034744016	OK	 
USER	InscribirCurso	130	START	1591034744081	1591034744081
REQUEST	130		Home	1591034744081	1591034744085	OK	 
REQUEST	75		IniciarSesion	1591034744101	1591034744105	OK	 
USER	InscribirCurso	131	START	1591034744180	1591034744180
REQUEST	131		Home	1591034744181	1591034744185	OK	 
REQUEST	76		IniciarSesion	1591034744192	1591034744195	OK	 
USER	InscribirCurso	132	START	1591034744271	1591034744271
REQUEST	132		Home	1591034744272	1591034744275	OK	 
REQUEST	77		IniciarSesion	1591034744304	1591034744307	OK	 
USER	InscribirCurso	133	START	1591034744363	1591034744363
REQUEST	133		Home	1591034744363	1591034744368	OK	 
REQUEST	78		IniciarSesion	1591034744379	1591034744384	OK	 
USER	InscribirCurso	134	START	1591034744454	1591034744454
REQUEST	134		Home	1591034744454	1591034744458	OK	 
REQUEST	79		IniciarSesion	1591034744469	1591034744472	OK	 
USER	InscribirCurso	135	START	1591034744544	1591034744544
REQUEST	135		Home	1591034744545	1591034744552	OK	 
REQUEST	80		IniciarSesion	1591034744559	1591034744567	OK	 
USER	InscribirCurso	136	START	1591034744631	1591034744631
REQUEST	136		Home	1591034744632	1591034744636	OK	 
REQUEST	81		IniciarSesion	1591034744654	1591034744657	OK	 
USER	InscribirCurso	137	START	1591034744725	1591034744725
REQUEST	137		Home	1591034744726	1591034744731	OK	 
REQUEST	82		IniciarSesion	1591034744739	1591034744742	OK	 
USER	InscribirCurso	138	START	1591034744808	1591034744808
REQUEST	138		Home	1591034744809	1591034744812	OK	 
REQUEST	83		IniciarSesion	1591034744829	1591034744833	OK	 
USER	InscribirCurso	139	START	1591034744903	1591034744903
REQUEST	139		Home	1591034744904	1591034744912	OK	 
REQUEST	84		IniciarSesion	1591034744924	1591034744927	OK	 
USER	InscribirCurso	140	START	1591034744994	1591034744994
REQUEST	140		Home	1591034744995	1591034745000	OK	 
REQUEST	85		IniciarSesion	1591034745009	1591034745012	OK	 
USER	InscribirCurso	141	START	1591034745084	1591034745084
REQUEST	141		Home	1591034745086	1591034745098	OK	 
REQUEST	86		IniciarSesion	1591034745109	1591034745114	OK	 
USER	InscribirCurso	142	START	1591034745168	1591034745168
REQUEST	142		Home	1591034745169	1591034745173	OK	 
REQUEST	87		IniciarSesion	1591034745201	1591034745204	OK	 
USER	InscribirCurso	143	START	1591034745270	1591034745270
REQUEST	143		Home	1591034745270	1591034745274	OK	 
REQUEST	88		IniciarSesion	1591034745299	1591034745302	OK	 
USER	InscribirCurso	144	START	1591034745363	1591034745363
REQUEST	144		Home	1591034745364	1591034745370	OK	 
REQUEST	89		IniciarSesion	1591034745379	1591034745383	OK	 
USER	InscribirCurso	145	START	1591034745453	1591034745453
REQUEST	145		Home	1591034745454	1591034745464	OK	 
REQUEST	90		IniciarSesion	1591034745464	1591034745468	OK	 
USER	InscribirCurso	146	START	1591034745543	1591034745543
REQUEST	146		Home	1591034745544	1591034745551	OK	 
REQUEST	91		IniciarSesion	1591034745564	1591034745568	OK	 
USER	InscribirCurso	147	START	1591034745631	1591034745631
REQUEST	147		Home	1591034745631	1591034745635	OK	 
